trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1214,False,"{'a': 0.5, 'e': 0.295270210585573}",25,8,-18.840477238069635,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
1215,False,"{'a': 0.5, 'e': 0.29426973069533074}",20,7,1.997173577455722,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1216,False,"{'a': 0.5, 'e': 0.29326892822399075}",20,7,12.566197378055943,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1217,False,"{'a': 0.5, 'e': 0.2922678042686418}",25,12,-9.96475549252222,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
1218,False,"{'a': 0.5, 'e': 0.29126635992672445}",35,3,-35.39546581139515,"{0: 27, 1: 2, 2: 2, 3: 0, 4: 1}",1
1219,False,"{'a': 0.5, 'e': 0.29026459629603113}",30,11,-5.16610251814687,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
1220,False,"{'a': 0.5, 'e': 0.289262514474704}",25,10,-4.911309425380793,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
1221,False,"{'a': 0.5, 'e': 0.28826011556123415}",25,0,-21.10122328134172,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
1222,False,"{'a': 0.5, 'e': 0.28725740065446015}",20,0,-16.918180590943905,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
1223,False,"{'a': 0.5, 'e': 0.286254370853567}",25,0,0.40254094486465797,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1224,False,"{'a': 0.5, 'e': 0.2852510272580849}",20,3,-6.895640885643541,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
1225,False,"{'a': 0.5, 'e': 0.284247370967888}",25,0,-17.94846702321,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
